Treatment,Concentration (mg/L),Total exposed,Number Unsettled,Number Settled,Settlement rate (%)
oil-only,0,789,430,359,45.500633713561
oil-only,0,931,720,211,22.66380236305
oil-only,0,954,560,394,41.299790356394
oil-only,0,854,540,314,36.768149882904
oil-only,0,1010,600,410,40.594059405941
oil-only,0,919,510,409,44.504896626768
oil-only,0,858,570,288,33.566433566434
oil-only,0,779,500,279,35.81514762516
oil-only,31.25,933,870,63,6.7524115755627
oil-only,31.25,817,760,57,6.9767441860465
oil-only,31.25,894,740,154,17.225950782998
oil-only,31.25,791,620,171,21.618204804046
oil-only,62.5,1160,1020,140,12.068965517241
oil-only,62.5,971,910,61,6.2821833161689
oil-only,62.5,703,500,203,28.876244665718
oil-only,62.5,881,770,111,12.599318955732
oil-only,125,700,610,90,12.857142857143
oil-only,125,920,810,110,11.95652173913
oil-only,125,929,840,89,9.5801937567277
oil-only,125,682,600,82,12.023460410557
oil-only,250,1070,970,100,9.3457943925234
oil-only,250,859,800,59,6.8684516880093
oil-only,250,1080,1000,80,7.4074074074074
oil-only,250,875,840,35,4
oil-only,500,1020,940,80,7.843137254902
oil-only,500,856,780,76,8.8785046728972
oil-only,500,882,790,92,10.430839002268
oil-only,500,792,760,32,4.040404040404
oil/dispersant,0,789,430,359,45.500633713561
oil/dispersant,0,931,720,211,22.66380236305
oil/dispersant,0,954,560,394,41.299790356394
oil/dispersant,0,854,540,314,36.768149882904
oil/dispersant,0,1010,600,410,40.594059405941
oil/dispersant,0,919,510,409,44.504896626768
oil/dispersant,0,858,570,288,33.566433566434
oil/dispersant,0,779,500,279,35.81514762516
oil/dispersant,31.25,1020,670,350,34.313725490196
oil/dispersant,31.25,897,570,327,36.454849498328
oil/dispersant,31.25,889,690,199,22.384701912261
oil/dispersant,31.25,899,530,369,41.045606229143
oil/dispersant,62.5,933,710,223,23.90139335477
oil/dispersant,62.5,1090,790,300,27.522935779817
oil/dispersant,62.5,883,720,163,18.45979614949
oil/dispersant,62.5,724,520,204,28.17679558011
oil/dispersant,125,790,650,140,17.721518987342
oil/dispersant,125,849,640,209,24.617196702002
oil/dispersant,125,1030,940,90,8.7378640776699
oil/dispersant,125,919,870,49,5.3318824809576
oil/dispersant,250,975,900,75,7.6923076923077
oil/dispersant,250,912,770,142,15.570175438596
oil/dispersant,250,918,830,88,9.5860566448802
oil/dispersant,250,863,710,153,17.728852838934
oil/dispersant,500,1130,1110,20,1.7699115044248
oil/dispersant,500,1100,990,110,10
oil/dispersant,500,1040,970,70,6.7307692307692
oil/dispersant,500,844,820,24,2.8436018957346